id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
55536,2017-09-08 00:00:00,Mordida,0,1,0
55536,2017-09-08 00:00:00,Mordida,0,1,0
55537,None,Falecimento sob Cuidados,0,0,0
55542,None,Falecimento sob Cuidados,0,0,0
55546,None,Falecimento sob Cuidados,0,0,0
55547,None,Falecimento sob Cuidados,0,0,0
55549,None,Falecimento sob Cuidados,0,0,0
55549,None,Falecimento sob Cuidados,0,0,0
55550,None,Falecimento sob Cuidados,0,0,0
55550,None,Falecimento sob Cuidados,0,0,0
55551,None,Falecimento sob Cuidados,0,0,0
55552,None,Falecimento sob Cuidados,0,0,0
55553,None,Falecimento sob Cuidados,0,0,0
55553,None,Falecimento sob Cuidados,0,0,0
55554,None,Falecimento sob Cuidados,0,0,0
55555,None,Falecimento sob Cuidados,0,0,0
55555,None,Falecimento sob Cuidados,0,0,0
55557,None,Falecimento sob Cuidados,0,0,0
55557,None,Falecimento sob Cuidados,0,0,0
55558,None,Falecimento sob Cuidados,0,0,0
55561,None,Falecimento sob Cuidados,0,0,0
55561,None,Falecimento sob Cuidados,0,0,0
55561,None,Falecimento sob Cuidados,0,0,0
55563,None,Falecimento sob Cuidados,0,0,0
55563,None,Falecimento sob Cuidados,0,0,0
55564,None,Falecimento sob Cuidados,0,0,0
55564,None,Falecimento sob Cuidados,0,0,0
55565,None,Falecimento sob Cuidados,0,0,0
55567,None,Falecimento sob Cuidados,0,0,0
55567,None,Falecimento sob Cuidados,0,0,0
55569,None,Falecimento sob Cuidados,0,0,0
55570,None,Falecimento sob Cuidados,0,0,0
55571,None,Falecimento sob Cuidados,0,0,0
55571,None,Falecimento sob Cuidados,0,0,0
55571,None,Falecimento sob Cuidados,0,0,0
55572,None,Falecimento sob Cuidados,0,0,0
55572,None,Falecimento sob Cuidados,0,0,0
55573,None,Falecimento sob Cuidados,0,0,0
55573,None,Falecimento sob Cuidados,0,0,0
55573,None,Falecimento sob Cuidados,0,0,0
55574,None,Falecimento sob Cuidados,0,0,0
55574,None,Falecimento sob Cuidados,0,0,0
55574,None,Falecimento sob Cuidados,0,0,0
55575,None,Falecimento sob Cuidados,0,0,0
55575,None,Falecimento sob Cuidados,0,0,0
55576,None,Falecimento sob Cuidados,0,0,0
55576,None,Falecimento sob Cuidados,0,0,0
55577,None,Falecimento sob Cuidados,0,0,0
55577,None,Falecimento sob Cuidados,0,0,0
55578,None,Falecimento sob Cuidados,0,0,0
55578,None,Falecimento sob Cuidados,0,0,0
55579,None,Falecimento sob Cuidados,0,0,0
55579,None,Falecimento sob Cuidados,0,0,0
55579,None,Falecimento sob Cuidados,0,0,0
55580,None,Falecimento sob Cuidados,0,0,0
55580,None,Falecimento sob Cuidados,0,0,0
55580,None,Falecimento sob Cuidados,0,0,0
55581,None,Falecimento sob Cuidados,0,0,0
55581,None,Falecimento sob Cuidados,0,0,0
55582,None,Falecimento sob Cuidados,0,0,0
55582,None,Falecimento sob Cuidados,0,0,0
55583,None,Falecimento sob Cuidados,0,0,0
55583,None,Falecimento sob Cuidados,0,0,0
55583,None,Falecimento sob Cuidados,0,0,0
55583,None,Falecimento sob Cuidados,0,0,0
55583,None,Falecimento sob Cuidados,0,0,0
55584,None,Falecimento sob Cuidados,0,0,0
55584,None,Falecimento sob Cuidados,0,0,0
55584,None,Falecimento sob Cuidados,0,0,0
55585,None,Falecimento sob Cuidados,0,0,0
55585,None,Falecimento sob Cuidados,0,0,0
55585,None,Falecimento sob Cuidados,0,0,0
55586,None,Falecimento sob Cuidados,0,0,0
55586,None,Falecimento sob Cuidados,0,0,0
55587,None,Falecimento sob Cuidados,0,0,0
55587,None,Falecimento sob Cuidados,0,0,0
55588,None,Falecimento sob Cuidados,0,0,0
55591,None,Falecimento sob Cuidados,0,0,0
55591,None,Falecimento sob Cuidados,0,0,0
55592,None,Falecimento sob Cuidados,0,0,0
55592,None,Falecimento sob Cuidados,0,0,0
55593,None,Falecimento sob Cuidados,0,0,0
55594,None,Falecimento sob Cuidados,0,0,0
55595,None,Falecimento sob Cuidados,0,0,0
55596,None,Falecimento sob Cuidados,0,0,0
55597,None,Falecimento sob Cuidados,0,0,0
55598,None,Falecimento sob Cuidados,0,0,0
55600,None,Falecimento sob Cuidados,0,0,0
